Connecting to host 123.57.223.37, port 5201
[  4] local 202.182.104.228 port 55672 connected to 123.57.223.37 port 5201
[  6] local 202.182.104.228 port 55674 connected to 123.57.223.37 port 5201
[  8] local 202.182.104.228 port 55676 connected to 123.57.223.37 port 5201
[ 10] local 202.182.104.228 port 55678 connected to 123.57.223.37 port 5201
[ 12] local 202.182.104.228 port 55680 connected to 123.57.223.37 port 5201
[ 14] local 202.182.104.228 port 55682 connected to 123.57.223.37 port 5201
[ 16] local 202.182.104.228 port 55684 connected to 123.57.223.37 port 5201
[ 18] local 202.182.104.228 port 55686 connected to 123.57.223.37 port 5201
[ 20] local 202.182.104.228 port 55688 connected to 123.57.223.37 port 5201
[ 22] local 202.182.104.228 port 55690 connected to 123.57.223.37 port 5201
[ 24] local 202.182.104.228 port 55692 connected to 123.57.223.37 port 5201
[ 26] local 202.182.104.228 port 55694 connected to 123.57.223.37 port 5201
[ 28] local 202.182.104.228 port 55696 connected to 123.57.223.37 port 5201
[ 30] local 202.182.104.228 port 55698 connected to 123.57.223.37 port 5201
[ 32] local 202.182.104.228 port 55700 connected to 123.57.223.37 port 5201
[ 34] local 202.182.104.228 port 55702 connected to 123.57.223.37 port 5201
[ 36] local 202.182.104.228 port 55704 connected to 123.57.223.37 port 5201
[ 38] local 202.182.104.228 port 55706 connected to 123.57.223.37 port 5201
[ 40] local 202.182.104.228 port 55708 connected to 123.57.223.37 port 5201
[ 42] local 202.182.104.228 port 55710 connected to 123.57.223.37 port 5201
[ 44] local 202.182.104.228 port 55712 connected to 123.57.223.37 port 5201
[ 46] local 202.182.104.228 port 55714 connected to 123.57.223.37 port 5201
[ 48] local 202.182.104.228 port 55716 connected to 123.57.223.37 port 5201
[ 50] local 202.182.104.228 port 55718 connected to 123.57.223.37 port 5201
[ 52] local 202.182.104.228 port 55720 connected to 123.57.223.37 port 5201
[ 54] local 202.182.104.228 port 55722 connected to 123.57.223.37 port 5201
[ 56] local 202.182.104.228 port 55724 connected to 123.57.223.37 port 5201
[ 58] local 202.182.104.228 port 55726 connected to 123.57.223.37 port 5201
[ 60] local 202.182.104.228 port 55728 connected to 123.57.223.37 port 5201
[ 62] local 202.182.104.228 port 55730 connected to 123.57.223.37 port 5201
[ 64] local 202.182.104.228 port 55732 connected to 123.57.223.37 port 5201
[ 66] local 202.182.104.228 port 55734 connected to 123.57.223.37 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   175 KBytes  1.44 Mbits/sec    9   15.6 KBytes       
[  6]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    8   7.07 KBytes       
[  8]   0.00-1.00   sec   106 KBytes   869 Kbits/sec   10   11.3 KBytes       
[ 10]   0.00-1.00   sec   297 KBytes  2.43 Mbits/sec    5   26.9 KBytes       
[ 12]   0.00-1.00   sec   112 KBytes   915 Kbits/sec    4   8.48 KBytes       
[ 14]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    6   7.07 KBytes       
[ 16]   0.00-1.00   sec   272 KBytes  2.22 Mbits/sec    5   17.0 KBytes       
[ 18]   0.00-1.00   sec   112 KBytes   915 Kbits/sec    4   14.1 KBytes       
[ 20]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    7   8.48 KBytes       
[ 22]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    6   9.90 KBytes       
[ 24]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    5   7.07 KBytes       
[ 26]   0.00-1.00   sec   457 KBytes  3.74 Mbits/sec    0   50.9 KBytes       
[ 28]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    1   14.1 KBytes       
[ 30]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    1   9.90 KBytes       
[ 32]   0.00-1.00   sec   191 KBytes  1.56 Mbits/sec    6   9.90 KBytes       
[ 34]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    5   5.66 KBytes       
[ 36]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    4   5.66 KBytes       
[ 38]   0.00-1.00   sec   177 KBytes  1.45 Mbits/sec    7   14.1 KBytes       
[ 40]   0.00-1.00   sec   112 KBytes   915 Kbits/sec    3   9.90 KBytes       
[ 42]   0.00-1.00   sec   307 KBytes  2.51 Mbits/sec    5   25.5 KBytes       
[ 44]   0.00-1.00   sec   184 KBytes  1.51 Mbits/sec    6   19.8 KBytes       
[ 46]   0.00-1.00   sec   106 KBytes   869 Kbits/sec    5   8.48 KBytes       
[ 48]   0.00-1.00   sec   112 KBytes   915 Kbits/sec    6   7.07 KBytes       
[ 50]   0.00-1.00   sec   199 KBytes  1.63 Mbits/sec    6   28.3 KBytes       
