Connecting to host 45.32.137.17, port 5201
[  4] local 198.13.33.47 port 34496 connected to 45.32.137.17 port 5201
[  6] local 198.13.33.47 port 34498 connected to 45.32.137.17 port 5201
[  8] local 198.13.33.47 port 34500 connected to 45.32.137.17 port 5201
[ 10] local 198.13.33.47 port 34502 connected to 45.32.137.17 port 5201
[ 12] local 198.13.33.47 port 34504 connected to 45.32.137.17 port 5201
[ 14] local 198.13.33.47 port 34506 connected to 45.32.137.17 port 5201
[ 16] local 198.13.33.47 port 34508 connected to 45.32.137.17 port 5201
[ 18] local 198.13.33.47 port 34510 connected to 45.32.137.17 port 5201
[ 20] local 198.13.33.47 port 34512 connected to 45.32.137.17 port 5201
[ 22] local 198.13.33.47 port 34514 connected to 45.32.137.17 port 5201
[ 24] local 198.13.33.47 port 34516 connected to 45.32.137.17 port 5201
[ 26] local 198.13.33.47 port 34518 connected to 45.32.137.17 port 5201
[ 28] local 198.13.33.47 port 34520 connected to 45.32.137.17 port 5201
[ 30] local 198.13.33.47 port 34522 connected to 45.32.137.17 port 5201
[ 32] local 198.13.33.47 port 34524 connected to 45.32.137.17 port 5201
[ 34] local 198.13.33.47 port 34526 connected to 45.32.137.17 port 5201
[ 36] local 198.13.33.47 port 34528 connected to 45.32.137.17 port 5201
[ 38] local 198.13.33.47 port 34530 connected to 45.32.137.17 port 5201
[ 40] local 198.13.33.47 port 34532 connected to 45.32.137.17 port 5201
[ 42] local 198.13.33.47 port 34534 connected to 45.32.137.17 port 5201
[ 44] local 198.13.33.47 port 34536 connected to 45.32.137.17 port 5201
[ 46] local 198.13.33.47 port 34538 connected to 45.32.137.17 port 5201
[ 48] local 198.13.33.47 port 34540 connected to 45.32.137.17 port 5201
[ 50] local 198.13.33.47 port 34542 connected to 45.32.137.17 port 5201
[ 52] local 198.13.33.47 port 34544 connected to 45.32.137.17 port 5201
[ 54] local 198.13.33.47 port 34546 connected to 45.32.137.17 port 5201
[ 56] local 198.13.33.47 port 34548 connected to 45.32.137.17 port 5201
[ 58] local 198.13.33.47 port 34550 connected to 45.32.137.17 port 5201
[ 60] local 198.13.33.47 port 34552 connected to 45.32.137.17 port 5201
[ 62] local 198.13.33.47 port 34554 connected to 45.32.137.17 port 5201
[ 64] local 198.13.33.47 port 34556 connected to 45.32.137.17 port 5201
[ 66] local 198.13.33.47 port 34558 connected to 45.32.137.17 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  3.59 MBytes  30.1 Mbits/sec    0    607 KBytes       
[  6]   0.00-1.00   sec  3.74 MBytes  31.3 Mbits/sec    0    717 KBytes       
[  8]   0.00-1.00   sec  3.62 MBytes  30.4 Mbits/sec    0    561 KBytes       
[ 10]   0.00-1.00   sec  3.53 MBytes  29.6 Mbits/sec    0    554 KBytes       
[ 12]   0.00-1.00   sec  3.53 MBytes  29.6 Mbits/sec    0    564 KBytes       
[ 14]   0.00-1.00   sec  3.73 MBytes  31.3 Mbits/sec    0    745 KBytes       
[ 16]   0.00-1.00   sec  3.69 MBytes  31.0 Mbits/sec    0    708 KBytes       
[ 18]   0.00-1.00   sec  3.69 MBytes  31.0 Mbits/sec    0    731 KBytes       
[ 20]   0.00-1.00   sec  3.72 MBytes  31.2 Mbits/sec    0    638 KBytes       
[ 22]   0.00-1.00   sec  3.72 MBytes  31.2 Mbits/sec    0    700 KBytes       
[ 24]   0.00-1.00   sec  3.76 MBytes  31.6 Mbits/sec    0    680 KBytes       
[ 26]   0.00-1.00   sec  3.71 MBytes  31.1 Mbits/sec    0    641 KBytes       
[ 28]   0.00-1.00   sec  3.93 MBytes  32.9 Mbits/sec    0    689 KBytes       
[ 30]   0.00-1.00   sec  3.73 MBytes  31.2 Mbits/sec    0    513 KBytes       
[ 32]   0.00-1.00   sec  3.74 MBytes  31.4 Mbits/sec    0    608 KBytes       
[ 34]   0.00-1.00   sec  3.95 MBytes  33.1 Mbits/sec    0    684 KBytes       
[ 36]   0.00-1.00   sec  3.70 MBytes  31.0 Mbits/sec    0    768 KBytes       
